arch,version,run,source,status,info_ratio,ann_vol,mdd,sortino,var99,calmar,cagr,ulcer,es99,sharpe,ann_return,mdd_duration,es95,hit_rate,var95
lstm,fast1000,lstm_bo_20250819_205909,mean_XT.csv,ok,-0.4128984730360165,0.18015158184466423,-0.049778983187898085,0.20008815986792738,-0.026007767354316452,0.10316698974864334,0.005135547848243771,0.022313243097676436,-0.029528755018822538,0.12116811351598582,0.021828627319038684,398.0,-0.02304676034455011,0.5005005005005005,-0.018929175885884053
lstm,fast1000,lstm_bo_20250819_214227,mean_XT.csv,ok,-0.38022322505339,0.20771493636333874,-0.06853940090184807,0.17550244443133795,-0.029797734040050036,0.021291599611183834,0.0014593134815925612,0.036315129566078,-0.03693521278848797,0.10851010406665716,0.022539169360984955,803.0,-0.02747308768338419,0.4954954954954955,-0.021443137615380865
lstm,super300,lstm_base_20250819_192357,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,super300,lstm_base_20250819_205125,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,super300,lstm_base_20250819_205154,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,super300,lstm_base_20250819_205909,mean_XT.csv,ok,-0.9995810623543099,0.20314120781426245,-0.053568176762077035,0.39171461179445327,-0.027228221391032096,0.3743847843828268,0.020055110306851365,0.02557183757685802,-0.030721936987469944,0.23047386877698972,0.04681874007298352,105.0,-0.02483962355785308,0.4983277591973244,-0.0205774395331199
lstm,super300,lstm_base_20250820_085107,mean_XT.csv,ok,-0.6993345046087778,0.2877998826704223,-0.0679329244482324,0.39263629946984113,-0.0389068200312013,0.3782267004335515,0.025694045864856685,0.03950732720751909,-0.05082199562848785,0.24691919986944902,0.07106331675150196,224.0,-0.03727270225786027,0.49498327759197325,-0.028170572915825604
lstm,super300,lstm_bo_20250819_205124,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,super300,lstm_bo_20250819_205154,(none),skipped_no_wealth,,,,,,,,,,,,,,,
lstm,super300,lstm_bo_20250819_205911,mean_XT.csv,ok,-1.0486567892913123,0.19620423969280007,-0.039845351670491636,0.3441637709271398,-0.02501735489125729,0.5819811773460619,0.023189244676960596,0.020008973763627726,-0.029398664822796405,0.2157246211163489,0.0423260852691506,118.0,-0.024266697605881123,0.5217391304347826,-0.021151888108059798
lstm,super300,lstm_bo_20250820_084055,mean_XT.csv,ok,-1.0450836589029833,0.1937925945983871,-0.05616219049054938,0.3683842017250829,-0.031791425386688214,0.4836192781148164,0.0271611180223863,0.026595139647872197,-0.03420300694282737,0.23592208067789122,0.04571995213761854,91.0,-0.026151762021517123,0.5317725752508361,-0.019739644469718372
transformer,fast1000,transformer_base_20250819_192425,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,fast1000,transformer_base_20250819_222722,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,fast1000,transformer_base_20250820_010508,mean_XT.csv,ok,-0.36567173602723635,0.2072128687103982,-0.05252893148675575,0.20950145183776303,-0.02948389933657947,0.03423095329293843,0.001798115400251099,0.026026562914480883,-0.03407062307010049,0.12240476329017033,0.025363842145173433,398.0,-0.02624469507709618,0.5015015015015015,-0.02031927906786636
transformer,fast1000,transformer_bo_20250819_223027,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,fast1000,transformer_bo_20250820_041922,mean_XT.csv,ok,-0.365270809184976,0.20805995228701096,-0.056206999284173054,0.21015204987040007,-0.029103249389285133,0.06073563436374496,0.0034137677572068093,0.028304777952295912,-0.03419427641997552,0.12299699965360886,0.025590749879375357,605.0,-0.026410535804845533,0.4994994994994995,-0.02015839181886444
transformer,super300,transformer_base_20250819_192454,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,super300,transformer_base_20250819_223026,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,super300,transformer_base_20250820_101927,mean_XT.csv,ok,-1.176540793041095,0.18769651937386367,-0.04914764763004609,0.23226844501979854,-0.028577595879502805,0.03766450373143652,0.001851121757553198,0.023784710139861366,-0.030368601979255543,0.1414930800297536,0.026557758637072288,199.0,-0.024329412983635876,0.4882943143812709,-0.01905861481172466
transformer,super300,transformer_bo_20250819_223026,(none),skipped_no_wealth,,,,,,,,,,,,,,,
transformer,super300,transformer_bo_20250820_111740,(none),skipped_no_wealth,,,,,,,,,,,,,,,
